sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.38068;8.85885;4.51786;0.2609;8.67449;4.56677;-0.22104;0.29004;-0.21945;0.14959;0.14844;0.20724;51.0;-48.9;-13.14;39.9;126.071;-61.083;-4.465;2.0;928.921;57.4625;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;9 / 17;194010;2021-02-12 10:46:44:243
-4.09887;6.90278;6.54126;-2.46942;7.34124;6.01485;-1.93025;-0.35328;-0.82219;-0.97257;1.13499;-0.01145;57.0;-55.56;-23.76;21.48;126.295;-54.709;9.235;2.0;928.93;53.6283;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;9 / 17;194509;2021-02-12 10:46:44:742
-2.71502;6.99616;5.54766;-1.6659;6.74507;6.92091;-1.56067;0.68923;-1.36401;0.06651;0.74037;0.1883;90.0;-68.22;-3.42;1.08;101.824;-43.457;13.534;2.0;928.899;53.9113;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;8 / 17;195009;2021-02-12 10:46:45:242
-0.71347;5.89722;4.9156;-1.17224;7.39935;6.32817;0.77411;-1.1334;1.22788;0.17402;-0.04948;-0.18311;31.0;-65.1;-0.48;6.84;102.51;-48.632;10.323;2.0;928.897;62.66;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;8 / 17;195509;2021-02-12 10:46:45:742
-1.78847;7.16375;5.87567;-0.66756;7.79901;5.90762;-0.10138;1.11963;-0.34993;0.16852;-0.13989;0.16081;28.0;-61.74;4.26;6.48;98.273;-50.259;8.187;2.0;928.883;58.6056;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;8 / 17;196009;2021-02-12 10:46:46:242
-1.18752;8.25072;5.40162;-0.16063;7.65516;6.12723;-0.57474;0.59196;-0.45227;0.25038;-0.15699;0.13638;12.0;-58.44;10.02;1.44;87.688;-49.489;4.431;2.0;928.891;48.1815;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;8 / 17;196509;2021-02-12 10:46:46:742
-0.88585;8.00172;6.90518;0.52304;6.24265;7.54493;-1.84646;2.05127;-0.09393;-0.52237;-0.23518;-0.46044;6.0;-53.58;10.2;6.66;84.373;-44.007;-4.608;2.0;928.906;64.0047;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;6 / 15;197009;2021-02-12 10:46:47:242
0.89304;5.98102;7.19009;-0.03589;6.05688;7.71254;1.18595;-0.32776;-0.43715;0.15569;0.50641;0.20968;9.0;-48.54;9.42;1.68;81.737;-35.776;-1.977;2.0;928.88;65.4405;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;6 / 15;197509;2021-02-12 10:46:47:742
0.84515;5.12868;5.32979;0.49463;6.28372;7.51269;0.48076;-1.23813;-2.12013;-0.45089;-0.68111;-0.27107;6.0;-44.88;3.24;7.2;90.351;-39.849;-3.767;2.0;928.903;66.2191;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;6 / 16;198010;2021-02-12 10:46:48:243
-0.54588;5.1598;11.71513;-3.49221;3.07082;8.63394;-0.16319;2.15342;3.02431;0.22655;1.78617;0.22923;6.0;-41.16;3.84;-9.72;75.365;-27.246;-6.793;2.0;928.91;63.4109;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;6 / 16;198509;2021-02-12 10:46:48:742
2.27449;3.24654;12.10299;-0.51758;4.18204;8.85511;3.74428;-1.10916;1.27246;-2.16376;-0.74587;-1.53312;6.0;-30.24;22.44;-9.3;52.976;-25.242;3.345;2.0;928.886;64.8566;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 18;199009;2021-02-12 10:46:49:242
1.09176;0.62728;14.29129;1.48369;1.2997;9.60624;-1.48061;-1.8116;1.54559;0.30169;-1.38483;0.60796;3.0;-35.88;12.6;6.72;71.3;-8.632;-5.915;2.0;928.908;62.27;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 18;199509;2021-02-12 10:46:49:742
2.08296;5.07361;6.68012;-0.16079;5.36519;8.20727;2.28456;-0.4259;-2.0245;1.37742;-0.00122;-0.30406;1.0;-25.26;17.46;-6.78;54.705;-33.168;1.122;2.0;928.949;59.3987;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 17;200009;2021-02-12 10:46:50:242
0.83079;8.74632;6.95785;2.03702;6.42228;7.12567;-2.01718;3.15232;-0.86324;-0.00496;0.85155;3.42039;1.0;-22.68;9.96;3.78;68.426;-40.911;-15.954;2.0;928.895;64.3986;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 17;200509;2021-02-12 10:46:50:742
-1.87705;3.16513;7.04165;-0.97309;7.26386;6.51612;-0.47757;-1.9893;-1.18293;4.52582;-2.41658;-0.5765;0.0;-17.1;-9.96;10.26;136.291;-19.952;15.802;2.0;928.97;64.5351;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;6 / 15;201009;2021-02-12 10:46:51:242
2.67911;2.26731;7.45824;-4.52624;1.3633;8.59214;8.10968;-1.94682;-2.09249;-1.82534;1.1356;-5.77558;3.0;-27.54;-5.52;-12.36;87.164;-30.154;-2.152;2.0;928.927;64.8613;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;6 / 15;201509;2021-02-12 10:46:51:742
0.97444;8.01609;10.36959;3.03177;2.92481;8.85574;-2.29449;4.99107;2.79473;0.66149;3.94619;-0.5203;3.0;-25.26;25.08;-3.3;39.902;-17.352;-18.899;2.0;928.895;61.1868;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 15;202010;2021-02-12 10:46:52:243
2.31759;-0.01437;4.68545;3.303;8.03204;4.55486;-1.1261;-3.24394;1.07076;-3.96948;2.58457;6.02756;0.0;-39.78;3.3;2.94;60.95;-54.989;-35.948;2.0;928.915;59.7454;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 15;202509;2021-02-12 10:46:52:742
-6.54605;-0.72305;9.56274;-3.64138;3.86055;8.24662;-1.93059;-5.16463;4.69528;0.59002;-0.29444;-4.54346;0.0;-32.28;8.16;-22.62;66.278;-21.252;4.625;2.0;928.949;64.3478;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 13;203009;2021-02-12 10:46:53:242
0.23942;0.45729;7.45345;0.04481;4.10999;8.90373;5.40206;-1.72785;0.87655;-1.09963;3.73422;-3.22277;2.0;-36.48;16.68;-12.66;46.074;-36.204;-20.133;2.0;928.944;58.4677;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 13;203509;2021-02-12 10:46:53:742
4.50349;7.7623;5.59794;6.28937;5.41404;5.22516;-2.65013;4.16404;-2.97584;0.16425;4.49841;0.30131;2.0;-35.22;20.28;11.88;49.167;-33.51;-50.28;2.0;928.947;53.0352;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 11;204010;2021-02-12 10:46:54:243
-7.74075;1.45807;8.56675;-1.51343;4.27403;8.69555;-3.35643;-2.61695;4.50438;5.8624;-4.79529;-0.69746;0.0;-31.68;-27.66;-0.06;131.193;-25.838;9.873;2.0;928.958;49.8688;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 11;204509;2021-02-12 10:46:54:742
2.32477;7.69287;1.15161;1.73143;6.573;7.06881;2.59095;2.42396;-2.48563;-0.07216;2.90161;-4.38525;0.0;-49.74;14.94;-2.1;45.726;-32.439;-45.751;2.0;928.891;51.157;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 11;205009;2021-02-12 10:46:55:242
3.26569;1.4461;-1.87466;2.26411;5.54162;-7.76748;-0.54157;-2.2869;6.35575;4.24849;-0.89858;3.84677;0.0;-14.64;31.5;33.42;353.684;-34.409;-163.749;2.0;928.895;59.7163;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 11;205509;2021-02-12 10:46:55:742
-2.68629;3.98156;8.0951;-2.65909;4.86122;8.09123;1.12257;0.01992;-0.02699;0.35423;1.44164;-5.47686;0.0;-45.9;7.14;-16.2;53.487;-21.915;-34.81;2.0;928.912;56.267;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 10;206009;2021-02-12 10:46:56:242
0.77812;6.39282;5.35373;3.16118;8.12281;4.49413;-1.47073;-0.58848;1.67119;-3.76606;2.61511;-0.56184;0.0;-38.58;-0.12;24.84;8.691;-57.464;-115.318;2.0;928.895;61.3153;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 10;206510;2021-02-12 10:46:56:743
1.80762;6.14861;5.56682;2.99576;6.76906;6.43239;-0.79382;-0.72332;-0.92774;-0.13935;-0.56505;0.38988;0.0;-46.02;0.9;9.42;79.421;-43.65;-24.973;2.0;928.873;63.0741;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 9;207009;2021-02-12 10:46:57:242
0.52672;6.43113;7.4343;3.4472;6.26701;6.70908;-3.26495;-0.55093;2.32414;-0.06788;0.84605;0.29215;0.0;-45.42;5.94;8.76;74.018;-39.722;-27.195;2.0;928.907;64.3705;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 9;207509;2021-02-12 10:46:57:742
0.25857;6.14622;8.52366;2.90818;5.67202;7.45258;-3.49803;1.35283;0.91174;-0.55047;-0.29199;0.06857;2.0;-46.2;8.16;3.42;71.766;-37.175;-20.74;2.0;928.888;62.2625;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 9;208009;2021-02-12 10:46:58:242
-0.13886;7.90356;7.08474;2.94694;6.4824;6.74272;-2.93881;1.30062;0.39657;0.35484;0.19242;0.08873;0.0;-42.78;5.94;5.7;73.666;-41.378;-23.608;2.0;928.923;69.3981;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 9;208509;2021-02-12 10:46:58:742
2.38941;8.66492;6.56281;3.66839;6.63919;6.21566;-1.36897;1.47613;0.2017;0.30902;-0.45265;-0.02917;0.0;-47.16;11.1;4.86;63.601;-42.61;-30.549;2.0;928.909;58.4817;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 6;209009;2021-02-12 10:46:59:242
0.1221;8.08312;6.4;3.57388;6.57435;6.33841;-2.77102;1.17411;0.00655;-0.16623;-0.03787;-0.22037;2.0;-50.82;12.72;2.04;59.616;-41.575;-31.282;2.0;928.911;60.9853;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 6;209509;2021-02-12 10:46:59:742
1.35033;7.30262;6.16537;3.08488;6.1799;6.96151;-2.66604;0.50599;-1.88047;-0.34277;0.39828;0.29337;0.0;-45.84;15.72;-4.14;56.788;-39.063;-23.9;2.0;928.885;64.2968;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 6;210010;2021-02-12 10:47:00:243
0.13886;6.10073;5.48781;3.19267;5.82137;7.21726;-3.1472;-0.25006;-0.00305;0.12576;-0.13989;-0.34315;0.0;-44.58;12.42;0.66;62.636;-37.245;-26.352;2.0;928.912;71.5073;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 6;210509;2021-02-12 10:47:00:742
0.7853;4.78601;6.80702;2.91122;5.48509;7.59005;-3.13245;0.14831;-1.5558;-0.08315;0.18204;0.2671;0.0;-44.1;13.32;-2.22;63.153;-32.267;-21.042;2.0;928.92;66.773;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 5;211009;2021-02-12 10:47:01:242
1.59214;5.70089;6.50295;3.58703;5.63393;7.18069;-1.88366;-0.21454;-1.07819;0.25038;-0.31765;-0.38286;0.0;-45.84;11.58;0.06;62.271;-35.065;-26.544;2.0;928.892;62.6591;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 5;211509;2021-02-12 10:47:01:742
0.74939;4.67348;10.54676;3.14816;5.41772;7.54372;-2.96768;0.02828;0.34919;-1.17782;0.22969;0.15837;0.0;-46.68;8.28;-1.68;67.453;-33.536;-22.652;2.0;928.911;62.6706;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 5;212009;2021-02-12 10:47:02:242
2.44448;6.25156;8.69125;3.26002;4.85941;7.86948;-0.78705;0.62744;2.92844;0.11904;-0.38912;-0.12263;0.0;-45.42;10.02;-6.9;64.047;-28.667;-20.198;2.0;928.938;65.7594;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 5;212509;2021-02-12 10:47:02:742
0.52194;6.09594;8.35127;3.23959;5.32748;7.56924;-2.70237;0.88166;0.69716;0.27237;-6.1E-4;0.18952;0.0;-46.8;0.36;-3.42;76.348;-30.967;-21.616;2.0;928.927;66.3309;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 5;213009;2021-02-12 10:47:03:242
0.89543;5.0808;7.70484;2.44941;3.59453;8.7892;-1.66957;1.29433;-0.97006;0.09644;0.23213;0.43081;0.0;-43.32;8.46;-13.62;64.0;-24.404;-17.1;2.0;928.924;64.2911;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 5;213510;2021-02-12 10:47:03:743
-0.93613;3.95283;8.43268;1.31072;2.10548;9.48785;-3.10022;1.36889;-2.40857;-0.75205;-0.08186;0.00809;0.0;-38.94;13.32;-18.48;58.889;-18.675;-12.462;2.0;928.908;64.2849;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 5;214009;2021-02-12 10:47:04:242
1.15879;3.78763;8.13101;2.01689;1.35097;9.50144;-0.78539;2.24611;-1.35657;0.13554;0.07575;0.65683;1.0;-32.46;20.82;-18.06;49.413;-8.459;-10.295;2.0;928.904;60.701;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 5;214509;2021-02-12 10:47:04:742
0.56264;3.08613;6.04087;1.56273;2.77961;9.27373;-1.59459;0.1605;-2.41639;-0.23587;-0.24435;0.26771;4.0;-27.24;21.54;-21.72;40.685;-17.207;-6.376;2.0;928.909;54.7673;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 5;215010;2021-02-12 10:47:05:243
-1.66876;3.97437;7.8461;-0.13841;2.156;9.56571;-1.52714;1.83609;-1.72354;-0.50282;0.92241;1.40514;8.0;-14.82;26.58;-21.78;26.2;-12.7;0.829;2.0;928.914;61.4639;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 5;215509;2021-02-12 10:47:05:742
-4.38139;2.60489;14.19552;-1.70525;1.28322;9.57162;-2.72875;1.38628;4.60625;0.60651;-0.53145;0.03742;9.0;9.3;30.0;-15.96;349.29;-7.519;10.102;2.0;928.899;64.1636;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 5;216009;2021-02-12 10:47:06:242
-0.39025;5.55006;8.55718;-1.08617;2.57735;9.39936;0.08155;2.22377;-0.47989;-0.82108;0.80084;0.01848;5.0;14.04;25.5;-20.52;337.819;-16.289;3.555;2.0;928.901;56.836;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 5;216509;2021-02-12 10:47:06:742
0.18914;5.93792;9.64175;-3.49689;2.36575;8.85129;3.80519;3.29324;0.26919;-0.25786;0.0452;0.14065;4.0;28.26;21.96;-11.76;318.033;-11.938;17.599;2.0;928.895;59.6214;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 5;217009;2021-02-12 10:47:07:242
-1.16837;4.83868;6.13903;-1.48073;4.1739;8.74965;0.03609;1.1225;-2.29454;0.4819;-0.71654;-0.04505;2.0;23.64;21.06;-23.58;327.433;-25.19;9.605;2.0;928.88;67.3931;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 5;217509;2021-02-12 10:47:07:742
0.08619;4.88657;8.18608;-2.65489;2.89293;8.98626;4.11194;2.26293;0.79122;-0.44173;0.69822;0.97754;2.0;28.32;23.88;-18.6;325.901;-20.959;16.389;2.0;928.882;64.3377;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 5;218010;2021-02-12 10:47:08:243
-1.09894;5.01855;5.81342;-2.31585;4.1858;8.56074;0.95902;1.15876;-2.55725;0.0775;-0.92668;-0.62782;1.0;22.98;23.76;-25.98;336.221;-25.267;15.137;2.0;928.894;50.4;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 5;218509;2021-02-12 10:47:08:742
0.23224;4.46279;6.65618;-2.36789;2.77019;9.10437;1.73664;0.78997;-2.81598;-0.81131;0.31398;0.25733;1.0;21.06;26.82;-22.26;335.665;-18.396;13.388;2.0;928.893;52.6056;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 5;219010;2021-02-12 10:47:09:243
-1.43173;5.07601;6.26832;-2.76336;3.50013;8.73403;1.05093;0.66164;-0.9229;0.85819;-0.4441;-0.52519;1.0;17.94;26.28;-24.3;342.851;-16.385;17.085;2.0;928.933;61.5142;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 5;219509;2021-02-12 10:47:09:742
-1.46286;4.28562;7.68329;-2.34742;2.98964;9.04002;1.54665;0.85952;-0.65701;-0.11125;0.53817;0.38378;1.0;17.34;25.74;-23.4;343.147;-21.659;15.354;2.0;928.882;68.8791;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 5;220009;2021-02-12 10:47:10:242
-1.63763;4.10127;8.09031;-2.53579;3.24398;8.90038;0.91975;0.61778;-0.71284;0.52771;-0.59437;-1.11101;1.0;21.0;25.8;-22.38;337.067;-19.901;15.801;2.0;928.885;68.3942;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 5;220509;2021-02-12 10:47:10:742
-1.43173;4.18028;8.52366;-2.22196;3.63927;8.83114;1.1013;0.64581;0.01766;-1.1088;0.75686;0.53833;1.0;11.82;28.32;-29.64;351.813;-22.78;12.023;2.0;928.903;62.3278;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;221010;2021-02-12 10:47:11:243
-2.83473;3.98874;13.89625;-2.79504;2.0967;9.16308;0.93017;3.56051;3.244;-0.26947;0.10018;0.0533;1.0;17.28;32.04;-22.68;346.039;-16.04;17.072;2.0;928.922;62.7562;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;221509;2021-02-12 10:47:11:742
-0.43096;6.47662;6.42873;-1.63529;4.1953;8.71181;-0.14286;1.80239;-2.44368;-0.24076;0.24679;0.2781;0.0;8.28;24.78;-31.68;357.709;-23.172;11.537;2.0;928.92;61.5604;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;222009;2021-02-12 10:47:12:242
0.73741;4.85544;10.20199;-2.90048;2.69615;8.97153;2.4732;2.5068;-1.73909;-0.92798;0.08919;0.57009;0.0;20.46;23.52;-22.02;338.112;-15.958;17.916;2.0;928.92;57.2366;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;222509;2021-02-12 10:47:12:742
-1.0726;5.91877;5.43514;-2.27808;4.02007;8.64984;1.27036;0.75217;-2.27774;0.39149;-0.32498;-0.23381;0.0;13.74;16.38;-25.62;345.299;-24.201;14.755;2.0;928.898;59.225;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;223010;2021-02-12 10:47:13:243
-1.54187;4.20182;5.48781;-3.11073;3.60244;8.57416;1.24548;0.55142;-3.17681;0.28825;-0.20586;0.6214;0.0;17.22;15.36;-19.14;335.732;-18.106;19.385;2.0;928.893;60.6735;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;223509;2021-02-12 10:47:13:742
-0.84036;3.15077;7.6809;-2.10148;3.00372;9.0957;1.264;-0.17713;-1.19494;0.53993;-0.6072;-0.44822;0.0;15.96;13.8;-15.24;327.32;-15.796;14.102;2.0;928.9;64.1128;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;224009;2021-02-12 10:47:14:242
-0.51475;3.77566;8.52845;-2.17896;3.64245;8.84054;1.59735;0.5616;1.53879;-1.03794;0.51679;0.52794;0.0;15.84;10.62;-16.32;325.985;-22.569;13.424;2.0;928.888;55.7443;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;224509;2021-02-12 10:47:14:742
-0.72784;5.11431;10.62816;-1.68533;3.83394;8.86741;1.55535;1.73925;1.60005;0.39027;-0.33964;-0.7054;0.0;13.98;11.22;-16.92;329.365;-22.799;11.134;2.0;928.907;62.3942;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;225009;2021-02-12 10:47:15:242
-0.44293;5.40162;8.26269;-1.98025;3.56406;8.91888;1.19552;1.50009;-0.49274;0.33223;0.80512;0.1211;0.0;12.96;14.1;-17.7;335.62;-21.923;11.082;2.0;928.908;65.4602;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;225510;2021-02-12 10:47:15:743
-1.68073;5.42077;8.04003;-2.9638;4.11157;8.39531;1.05456;1.12193;-0.45392;-0.26764;0.47342;0.77106;2.0;20.52;8.64;-13.86;317.693;-24.788;19.445;2.0;928.896;61.666;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;226009;2021-02-12 10:47:16:242
-1.37188;3.7158;8.84209;-3.29995;3.55186;8.52438;2.19826;1.06744;0.38621;-0.29207;0.33537;0.13271;6.0;24.9;7.14;-11.46;304.93;-21.235;21.162;2.0;928.92;67.1674;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;226509;2021-02-12 10:47:16:742
0.78769;6.13424;7.37923;-4.32835;4.45542;7.58847;4.12269;0.43285;3.50588;0.61568;0.09224;0.5817;30.0;28.62;5.28;-6.66;302.323;-27.022;29.7;2.0;928.918;71.1771;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;227009;2021-02-12 10:47:17:242
-1.53708;4.22098;9.07193;-2.88421;2.75099;8.96012;1.02582;2.00607;-0.02432;0.27359;-0.76664;-1.64124;61.0;18.78;19.86;-17.22;333.089;-16.291;17.843;2.0;928.913;60.4909;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;227509;2021-02-12 10:47:17:742
-0.81163;3.33273;6.1127;-0.67521;2.90741;9.34138;0.01915;0.35792;-3.19487;0.39515;-0.47647;-0.66386;73.0;-1.8;26.28;-22.74;7.356;-15.744;5.075;2.0;928.895;66.0154;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;228009;2021-02-12 10:47:18:242
-1.74298;4.07972;5.88285;-1.49255;3.35648;9.09267;-0.52395;0.65348;-2.63311;0.07689;-0.09346;0.32452;132.0;1.14;24.84;-22.14;4.017;-19.871;8.268;2.0;928.928;63.5474;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;228509;2021-02-12 10:47:18:742
-3.3447;3.20823;14.06145;-2.24429;2.07387;9.3184;-0.60596;3.07694;2.81283;-0.57429;0.34697;-0.01329;135.0;8.64;25.92;-15.78;350.26;-12.209;13.542;2.0;928.921;65.4634;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;229010;2021-02-12 10:47:19:243
-1.92973;6.53886;8.7942;-2.4321;3.68523;8.75639;0.35353;1.98499;1.96111;-1.22792;0.58154;1.0038;94.0;10.62;23.04;-18.3;348.701;-22.073;15.523;2.0;928.891;62.141;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;229509;2021-02-12 10:47:19:742
-1.25935;5.83736;6.0696;-2.85391;3.95068;8.50986;2.26223;2.02627;-1.42407;-0.99579;0.3543;0.83215;67.0;20.46;17.94;-14.7;330.829;-25.019;19.086;2.0;928.902;71.4645;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 5;230009;2021-02-12 10:47:20:242
-2.53546;3.39737;7.32416;-3.45433;3.46428;8.49922;0.81243;0.05942;-0.65973;-0.57979;0.38057;0.77351;61.0;29.76;12.48;-7.56;304.364;-18.411;21.143;2.0;928.919;70.1575;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 5;230509;2021-02-12 10:47:20:742
-1.52989;5.27951;7.41035;-3.21243;4.54393;8.07486;1.47329;1.2044;-0.92712;0.72746;0.31032;0.2054;55.0;31.8;-2.82;-0.66;276.322;-27.604;21.694;2.0;928.908;67.9143;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;231009;2021-02-12 10:47:21:242
-1.43413;5.02812;8.56197;-3.24633;3.69868;8.48242;2.9002;0.27018;-0.79333;-0.16929;-1.05435;-2.1672;48.0;29.28;10.14;-7.14;302.46;-22.158;20.942;2.0;928.928;64.9433;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;231509;2021-02-12 10:47:21:742
-0.9505;3.19626;10.6138;-1.25549;1.5068;9.60852;1.55467;1.18907;0.09509;0.16364;-0.45815;-2.0945;68.0;0.06;29.34;-16.8;5.175;-13.581;9.853;2.0;928.896;64.7515;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;232009;2021-02-12 10:47:22:242
-1.54905;3.59849;9.47416;-0.29671;2.48395;9.48221;-1.3187;1.4119;-0.08284;-0.1027;-0.17654;-0.37858;70.0;-18.66;21.72;-19.02;37.431;-13.403;1.948;2.0;928.912;65.8821;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;232509;2021-02-12 10:47:22:742
-3.82354;4.44364;8.96658;-0.70355;2.76249;9.38318;-2.75747;1.2774;-0.06088;0.81237;-0.03604;-0.46288;39.0;-24.72;17.88;-18.9;51.015;-13.922;5.011;2.0;928.927;67.5934;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;233009;2021-02-12 10:47:23:242
-2.71502;4.72855;8.4662;-0.98107;3.49376;9.11052;-1.09611;1.26393;-0.39189;0.33773;-0.66218;-1.32604;35.0;-31.02;6.42;-17.82;71.749;-20.871;6.146;2.0;928.878;57.9228;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 4;233509;2021-02-12 10:47:23:742
-3.50511;4.05338;8.9594;-1.16246;3.08845;9.23475;-2.47131;0.61641;-0.47375;-0.25969;-0.07758;-0.02428;20.0;-31.56;-0.66;-15.96;84.076;-20.878;6.298;2.0;928.916;66.7457;12.355663;76.59636;2221.469;NaN;;0.79;12.903226;359.146;0 / 5;234009;2021-02-12 10:47:24:242
